                    x                count                  avg                sigma                  min                  max
        391.000000000        234.000000000         32.135996000         11.605776000        -29.643999000         53.446999000
        392.000000000          5.000000000         26.866999000         11.277673000          8.018000000         37.417999000
        537.000000000         26.000000000         26.159961000         15.183056000        -19.660999000         42.259998000
        538.000000000        148.000000000         28.158865000         16.146304000        -26.850000000         49.909000000
        539.000000000         30.000000000         26.935400000         17.901624000        -26.636999000         45.983002000
        720.000000000         40.000000000         40.514675000         13.402903000        -29.510000000         54.256001000
        721.000000000        170.000000000         39.755182000          7.693905000         24.240999000         63.254002000
        868.000000000        156.000000000         37.249212000         10.789781000        -19.934999000         62.966999000
        869.000000000          7.000000000         44.383142000          9.082323000         30.278999000         53.247002000
       1052.000000000         38.000000000         42.661026000          5.193579000         33.950001000         53.459999000
       1053.000000000        178.000000000         37.621371000         10.092220000        -32.152000000         56.279999000
       1054.000000000         19.000000000         29.590842000         18.952231000        -25.555000000         43.808998000
       1205.000000000         37.000000000         74.559189000          6.693689000         64.872002000         95.069000000
       1206.000000000        117.000000000         70.485991000          8.313387000         49.306000000        103.012001000
       1207.000000000         59.000000000         67.986509000          8.593269000         45.520000000         81.750999000
       1399.000000000         26.000000000         39.795000000          5.433951000         22.559999000         49.193001000
       1400.000000000        135.000000000         40.675852000          5.278946000         25.261000000         53.701000000
       1401.000000000         67.000000000         36.750418000          6.683772000         16.309999000         53.664001000
       1553.000000000         57.000000000         41.594895000          5.277690000         30.389999000         53.422001000
       1554.000000000        116.000000000         42.699957000          5.225242000         31.165001000         54.431999000
       1555.000000000         35.000000000         42.607914000          5.792961000         24.844999000         52.352001000
       1746.000000000         19.000000000         44.360632000          4.494006000         34.999001000         51.754002000
       1747.000000000        127.000000000         47.223339000          4.399887000         30.202000000         57.953999000
       1748.000000000         93.000000000         41.040258000          5.784722000         28.267000000         54.937000000
       1901.000000000         50.000000000         36.965280000          7.537159000         11.426000000         48.089001000
       1902.000000000        115.000000000         39.451661000          5.499496000         24.528000000         53.605999000
       1903.000000000         48.000000000         36.369500000         10.020203000        -19.688000000         47.205002000
       2093.000000000         14.000000000         37.970929000          6.703368000         25.601000000         46.431000000
       2094.000000000        132.000000000         40.196250000          5.090362000         26.802999000         52.438000000
       2095.000000000         92.000000000         38.022467000          5.880643000         22.683001000         50.008999000
       2249.000000000         10.000000000         42.826900000          4.702822000         35.287998000         47.868000000
       2250.000000000        117.000000000         37.341103000          9.352930000        -35.959999000         53.063000000
       2251.000000000         93.000000000         36.648699000          6.391515000         20.886000000         51.022999000
       2440.000000000         12.000000000         23.765833000         21.496055000        -24.483999000         42.903000000
       2441.000000000        131.000000000         19.199992000         21.882873000        -29.576000000         44.776001000
       2442.000000000         95.000000000         25.441126000         16.473444000        -27.657000000         42.417000000
       2598.000000000        113.000000000         30.691195000         14.219963000        -28.068001000         47.630001000
       2599.000000000        110.000000000         30.449645000         14.298033000        -33.000999000         45.842999000
       2788.000000000        102.000000000         31.550628000          9.150479000        -20.288000000         44.058998000
       2789.000000000        128.000000000         31.001633000          9.891524000        -18.355000000         48.709999000
       2790.000000000          6.000000000         36.661167000          5.195171000         28.141001000         43.027000000
       3135.000000000         34.000000000         27.677470000         13.413722000        -18.730000000         43.217999000
       3136.000000000        126.000000000         23.140270000         16.862303000        -31.419001000         43.972000000
       3137.000000000         70.000000000         26.475628000         16.691920000        -26.172001000         44.914001000
       3294.000000000         96.000000000         20.531135000         20.916824000        -30.040001000         41.348000000
       3295.000000000        125.000000000         22.729712000         16.989192000        -25.510000000         42.042000000
       3296.000000000          6.000000000         22.504333000         26.997751000        -30.308001000         44.508999000
       3482.000000000         30.000000000         22.330000000         20.782763000        -25.125000000         41.797001000
       3483.000000000        129.000000000         17.903969000         20.427933000        -30.476999000         41.330002000
       3484.000000000         72.000000000         16.776639000         23.350631000        -31.889000000         40.115002000
       3642.000000000         76.000000000         21.061013000         18.451157000        -32.023998000         41.022999000
       3643.000000000        121.000000000          3.721917000         25.093734000        -38.919998000         41.227001000
       3644.000000000         24.000000000         11.198208000         24.088701000        -30.302000000         38.974998000
       3829.000000000         23.000000000         14.222565000         24.516058000        -31.340000000         39.119999000
       3830.000000000        131.000000000         -6.373061000         25.307740000        -41.022999000         36.266998000
       3831.000000000         71.000000000         20.132803000         16.622612000        -25.277000000         37.867001000
       3990.000000000         44.000000000         14.918886000         25.086413000        -30.620001000         42.791000000
       3992.000000000         54.000000000         18.699685000         28.944887000        -32.654999000         48.665001000
       4176.000000000          3.000000000         14.321667000         39.102696000        -30.802999000         38.242001000
       4177.000000000        130.000000000         -0.130523000         24.892000000        -36.243000000         37.905998000
       4178.000000000         91.000000000         15.194066000         21.749647000        -31.236000000         38.678001000
       4338.000000000          5.000000000         29.732400000         10.224063000         18.816999000         39.791000000
       4339.000000000        123.000000000         17.138943000         22.109940000        -31.646000000         42.293999000
       4340.000000000        104.000000000         12.919029000         23.470549000        -31.695999000         41.683998000
       4524.000000000        127.000000000         14.107866000         21.981090000        -30.174000000         39.576000000
       4525.000000000        102.000000000         14.508872000         21.910016000        -32.080002000         40.525002000
       4687.000000000         92.000000000         16.883239000         21.734262000        -31.549000000         38.452999000
       4688.000000000        124.000000000          9.985952000         23.933205000        -36.160999000         42.951000000
       4689.000000000         13.000000000         12.166615000         27.706153000        -31.618999000         40.480000000
       4871.000000000        102.000000000         16.173579000         25.360650000        -35.469002000         43.066002000
       4872.000000000        123.000000000         21.818642000         19.920436000        -30.305000000         47.592999000
       5035.000000000         63.000000000         29.433921000         12.938295000        -23.656000000         49.509998000
       5036.000000000        126.000000000         32.236936000         10.655231000        -26.882999000         48.591000000
       5037.000000000         45.000000000         29.644667000         18.452722000        -30.511999000         53.613998000
